1	N	Dunkirk	WB	$50,513,488	-	3,720	-	$13,579	$50,513,488	$100	1
2	N	Girls Trip	Uni.	$31,201,920	-	2,591	-	$12,042	$31,201,920	$19	1
3	2	Spider-Man: Homecoming	Sony	$22,150,085	-49.9%	4,130	-218	$5,363	$251,851,666	$175	3
4	1	War for the Planet of the Apes	Fox	$20,884,223	-62.9%	4,100	+78	$5,094	$98,235,137	$150	2
5	N	Valerian and the City of a Thousand Planets	STX	$17,007,624	-	3,553	-	$4,787	$17,007,624	$177.2	1
6	3	Despicable Me 3	Uni.	$13,012,050	-32.8%	3,525	-630	$3,691	$213,620,275	$80	4
7	4	Baby Driver	TriS	$6,070,912	-30.3%	2,503	-540	$2,425	$84,304,851	$34	4
8	5	The Big Sick	LGF	$5,008,143	-33.8%	2,597	-	$1,928	$24,547,521	-	5
9	6	Wonder Woman	WB	$4,608,028	-32.3%	1,971	-773	$2,338	$389,011,307	$149	8
10	7	Wish Upon	BG	$2,475,013	-54.7%	2,154	-96	$1,149	$10,519,278	$12	2
11	8	Cars 3	BV	$1,918,697	-38.5%	1,294	-755	$1,483	$144,013,262	-	6
12	9	Transformers: The Last Knight	Par.	$1,169,678	-58.9%	1,025	-1,298	$1,141	$127,606,483	$217	5
13	17	Captain Underpants: The First Epic Movie	Fox	$461,114	+39.0%	291	+14	$1,585	$71,865,351	$38	8
14	11	47 Meters Down	ENTMP	$436,949	-61.7%	449	-583	$973	$42,261,406	$5.5	6
15	10	The House	WB (NL)	$430,021	-75.2%	453	-1,180	$949	$24,456,269	$40	4
16	20	Maudie	SPC	$391,064	+58.7%	233	+134	$1,678	$4,065,731	-	14
17	13	Guardians of the Galaxy Vol. 2	BV	$364,450	-28.5%	268	-131	$1,360	$387,259,952	$200	12
18	12	The Beguiled (2017)	Focus	$257,555	-72.1%	331	-395	$778	$10,160,989	-	5
19	14	Pirates of the Caribbean: Dead Men Tell No Tales	BV	$247,547	-50.1%	229	-219	$1,081	$170,617,747	$230	9
20	16	The Mummy (2017)	Uni.	$217,260	-40.0%	214	-187	$1,015	$79,401,065	$125	7
21	19	The Little Hours	G&S	$170,496	-41.6%	114	+9	$1,496	$979,603	-	4
22	18	The Hero	Orch.	$141,292	-56.4%	191	-124	$740	$3,701,093	-	7
23	25	A Ghost Story	A24	$137,384	+1.4%	43	+23	$3,195	$476,424	$0.1	3
24	24	The Boss Baby	Fox	$137,293	-2.2%	163	-7	$842	$174,456,979	-	17
25	32	Lady Macbeth	RAtt.	$125,366	+94.3%	40	+35	$3,134	$221,646	-	2
26	15	Jagga Jasoos	UTV	$118,425	-75.8%	107	-103	$1,107	$789,653	-	2
27	21	Beatriz At Dinner	RAtt.	$115,839	-48.7%	116	-89	$999	$6,707,681	-	7
